priority,title,authors,year,subtopic,publication,doi_url,origin,level,description
1,"Does using artificial intelligence assistance accelerate skill decay and hinder skill development without performers’ awareness?","B. N. Macnamara; I. Berber; M. C. Çavuşoğlu; E. A. Krupinski; N. Nallapareddy; N. E. Nelson; P. J. Smith; A. L. Wilson-Delfosse; S. Ray",2024,"Deskilling y deterioro de capacidades","Cognitive Research: Principles and Implications, 9, Article 46",https://doi.org/10.1186/s41235-024-00572-8,"Abstract comentado JPC","Núcleo central","Examina si la asistencia de inteligencia artificial acelera la pérdida de habilidades y dificulta su desarrollo, incluso cuando quienes la usan no perciben ese deterioro."
2,"The dependency dilemma: How machine learning decision aids can undermine skill growth","K. Bauer; M. Nofer; B. Henrich; H. Drachsler; O. Hinz",2026,"Deskilling y deterioro de capacidades","Business & Information Systems Engineering",https://doi.org/10.1007/s12599-026-01014-z,"Gobernar_la_IA_sin_vaciar_el_juicio_directivo.docx","Núcleo central","Analiza el dilema de dependencia creado por ayudas de decisión basadas en machine learning: pueden mejorar el desempeño inmediato y, al mismo tiempo, debilitar el crecimiento de habilidades."
3,"AI deskilling is a structural problem","A. Ferdman",2026,"Gobernanza y capacidades","AI & Society, 41, 3001–3013",https://doi.org/10.1007/s00146-025-02686-z,"Abstract comentado JPC","Núcleo central","Plantea que el deskilling inducido por IA no es sólo un problema individual, sino una consecuencia estructural de cómo se organizan, diseñan y gobiernan los sistemas de trabajo."
4,"AI-induced deskilling in medicine: A mixed-method review and research agenda for healthcare and beyond","C. Natali; L. Marconi; L. D. Dias Duran; F. Cabitza",2025,"Deskilling y deterioro de capacidades","Artificial Intelligence Review, 58, Article 356",https://doi.org/10.1007/s10462-025-11352-1,"Abstract comentado JPC","Núcleo central","Revisa evidencia sobre deskilling inducido por IA en medicina y propone una agenda de investigación aplicable a salud y a otros dominios profesionales."
5,"Endoscopist deskilling risk after exposure to artificial intelligence in colonoscopy: A multicentre, observational study","K. Budzyń; M. Romańczyk; D. Kitala; et al.",2025,"Deskilling y deterioro de capacidades","The Lancet Gastroenterology & Hepatology, 10(10), 896–903",https://doi.org/10.1016/S2468-1253(25)00133-5,"Gobernar_la_IA_sin_vaciar_el_juicio_directivo.docx","Núcleo central","Estudio multicéntrico observacional que evalúa el riesgo de pérdida de habilidad de endoscopistas después de trabajar con apoyo de IA en colonoscopia."
6,"To trust or to think: Cognitive forcing functions can reduce overreliance on AI in AI-assisted decision-making","Z. Buçinca; M. B. Malaya; K. Z. Gajos",2021,"Interacción humano–IA","Proceedings of the ACM on Human-Computer Interaction, 5(CSCW1), Article 188",https://doi.org/10.1145/3449287,"Abstract comentado JPC","Núcleo central","Evalúa mecanismos de cognitive forcing diseñados para reducir la sobredependencia de recomendaciones de IA y estimular una evaluación humana más deliberada."
7,"Offloading wisdom: Four technological relations that mediate phronesis","A. Zelny",2025,"Phronesis y juicio directivo","Philosophy & Technology, 38, Article 56",https://doi.org/10.1007/s13347-025-00889-2,"Abstract comentado JPC","Núcleo central","Examina cómo distintas formas de relación tecnológica pueden mediar, reforzar, desplazar o debilitar la phronesis o sabiduría práctica."
8,"Artificial intelligence and the future of practical wisdom in business management","S. R. Clegg; M. Berti; A. V. Simpson; M. Pina e Cunha",2020,"Phronesis y juicio directivo","Handbook of Philosophy of Management, Springer",https://doi.org/10.1007/978-3-030-00140-7_2,"Abstract comentado JPC","Núcleo central","Explora cómo la inteligencia artificial transforma las condiciones en las que se ejerce y desarrolla la sabiduría práctica en la dirección de empresas."
9,"Shadow learning: Building robotic surgical skill when approved means fail","M. Beane",2019,"Formación y aprendizaje profesional","Administrative Science Quarterly, 64(1), 87–123",https://doi.org/10.1177/0001839217751692,"Correo de Antonio, 16-ago-2026","Núcleo central","Estudia cómo los profesionales desarrollan habilidades en cirugía robótica mediante aprendizaje informal cuando los mecanismos formales de formación no permiten suficiente práctica."
10,"Artificial intelligence and management: The automation–augmentation paradox","S. Raisch; S. Krakowski",2021,"Gobernanza y capacidades","Academy of Management Review, 46(1), 192–210",https://doi.org/10.5465/amr.2018.0072,"Correo de Antonio, 16-ago-2026","Núcleo central","Desarrolla la paradoja automatización–augmentación para explicar por qué la IA puede simultáneamente sustituir tareas humanas y ampliar capacidades de gestión."
